Letters,Central Letter,Total Words,Total Points
ABDEHNO,A,83,351
BEIKLNO,O,77,243
BEIKLNO,N,91,337
BEIKLNO,L,87,307
BEIKLNO,K,60,196
BEIKLNO,I,77,301
BEIKLNO,E,89,325
BEIKLNO,B,67,252
BENORST,B,93,432
BEFINOR,R,95,412
BEFINOR,O,69,280
BEFINOR,N,74,315
BEFINOR,I,67,296
BEFINOR,F,52,243
BEFINOR,E,99,421
BEFINOR,B,71,298
BEHNORU,R,69,260
BEHNORU,O,64,224
BEHNORU,N,55,209
BEHNORU,E,58,200
BEHNORU,B,58,209
BEFHNOR,R,62,243
BEFHNOR,O,66,245
BEFHNOR,E,66,252
BEKNORS,S,68,311
BEKNORS,R,83,357
BEKNORS,O,99,382
BEKNORS,N,80,325
BEKNORS,B,71,267
BDGIKNO,O,70,288
BDGIKNO,N,70,322
BDGIKNO,I,62,308
ABCEKOS,S,50,182
ABCEKOS,A,59,221
ABFIKOR,R,53,189
ABFIKOR,A,55,220
BEKLOSU,U,52,217
BEKLOSU,S,64,246
BEKLOSU,O,63,229
BEKLOSU,L,85,289
BEKLOSU,E,73,286
BEKLOSU,B,58,199
BEKLORV,R,63,275
BEKLORV,O,64,233
BEKLORV,L,58,235
BEKLORV,E,81,327
ABEKMOR,O,85,352
ABEKMOR,M,91,388
ABEKMOR,K,62,263
ABEKMOR,B,90,388
BEIKLMO,O,50,152
BEIKLMO,L,71,235
BEIKLMO,I,53,207
BEIKLMO,E,60,234
BEKLORS,S,68,281
BEKLORS,R,73,320
BEKLORS,O,88,323
BEKLORS,L,75,287
BEKLORS,B,65,246
ABKLOST,T,78,269
ABKLOST,S,78,261
ABKLOST,O,88,280
ABKLOST,L,95,331
ABKLOST,B,67,233
BEKORST,S,96,449
BEKORST,B,64,277
BDEGLNO,N,76,299
BDEGLNO,L,85,336
BDEGLNO,G,53,210
BDEGLNO,D,73,310
BDEGLNO,B,65,256
ABCKLOT,T,64,257
ABCKLOT,O,94,353
ABCKLOT,L,88,349
ABCKLOT,K,50,214
ABCKLOT,C,70,321
ABCKLOT,B,69,315
BEGLORT,T,98,472
BEGLORT,L,91,377
BEGLORT,G,59,300
BEGLORT,B,72,330
BCIKLOT,O,66,201
BCIKLOT,L,54,151
ABOPRST,S,93,362
ABOPRST,P,78,322
ABEILOR,O,85,339
BGINORW,O,67,302
BGINORW,N,72,370
BGINORW,I,63,344
BGINORW,G,59,313
BCHORST,T,57,224
BCHORST,O,87,314
BCHORST,H,50,220
BCDEHOT,E,50,188
BCEHORT,H,81,379
BCEHORT,C,73,357
BCEHORT,B,52,238
BHOPRST,T,67,269
BHOPRST,S,51,200
BHOPRST,O,93,337
BDIORTY,O,54,157
ABNOSTW,T,65,265
ABNOSTW,S,70,264
ABNOSTW,O,72,290
ABNOSTW,N,73,320
ABNOSTW,B,55,225
ABNOSTW,A,88,374
BCEILOT,T,88,378
BCEILOT,O,89,356
BCEILOT,L,100,387
BCEILOT,I,70,324
BCEILOT,E,82,376
BCEILOT,C,55,275
BCEILOT,B,59,257
BDEFLOT,T,59,220
BDEFLOT,O,78,264
BDEFLOT,L,78,282
BDEFLOT,E,86,330
BDEFLOT,D,50,199
BEFLOTU,U,60,213
BEFLOTU,T,68,240
BEFLOTU,O,63,209
BEFLOTU,L,89,291
BEFLOTU,E,79,309
BEFLOTU,B,63,234
BELNOST,B,84,371
BELMOST,T,97,406
BELMOST,S,94,406
BELMOST,M,67,289
BELMOST,B,63,259
BILNOTU,T,58,206
BILNOTU,O,65,235
BILNOTU,N,55,257
BILNOTU,L,57,175
BILNOTU,I,61,262
BILNOTU,B,50,205
ABFNOTU,T,54,182
ABFNOTU,A,57,210
BDELORU,U,82,379
BDELORU,D,100,494
BDELORU,B,99,477
BCENORU,U,51,252
BCENORU,R,92,414
BCENORU,O,95,405
BCENORU,N,82,370
BCENORU,E,89,382
BCENORU,C,62,302
BCENORU,B,66,256
BCGINOU,O,56,241
BCGINOU,N,58,269
BDENOSU,U,63,363
BDENOSU,S,88,442
BDENOSU,O,82,383
BDENOSU,D,88,460
BDENOSU,B,60,279
BDENORU,U,76,419
BDENORU,B,95,461
BENOSTU,U,66,331
BENOSTU,O,98,462
BENOSTU,B,74,338
BEGNORU,U,53,261
BEGNORU,R,100,453
BEGNORU,O,83,336
BEGNORU,N,80,349
BEGNORU,G,65,320
BEGNORU,E,97,438
BEGNORU,B,71,305
BGINORU,R,62,285
BGINORU,O,64,275
BGINORU,N,76,375
BGINORU,I,67,346
BGINORU,G,60,290
BGINORU,B,52,216
ABELOTU,U,72,294
ABELOTU,O,79,294
ABDEIOV,D,61,209
ABEINOV,N,78,285
ABEINOV,A,51,192
BDELORW,W,63,329
BDELORW,L,87,398
BDELORW,D,94,463
BDELORW,B,84,411
BDEIORW,O,75,340
BDEIORW,I,63,303
BDEIORW,D,98,470
BDEIORW,B,70,334
ABDEHOW,D,56,195
BDEGLOW,O,72,255
BDEGLOW,L,71,251
BDEGLOW,E,77,315
BDEGLOW,D,58,239
BEILNOW,O,70,255
BEILNOW,N,68,267
BEILNOW,L,81,291
BEILNOW,I,56,233
BEILNOW,E,79,298
BEILNOW,B,63,238
ABCORSX,R,53,233
ABCORSX,A,70,297
BEIKLOX,L,59,180
BEIKLOX,I,50,177
BHILOSY,O,50,174
BHILOSY,L,53,199
ABIKNOY,O,54,199
ABIKNOY,N,65,249
ABIKNOY,A,56,211
BEIKLOY,L,65,219
BENORSY,S,69,310
BENORSY,R,76,329
BENORSY,N,83,372
BENORSY,B,73,301
BEORSTY,S,92,422
BEORSTY,B,62,262
ABEMNOZ,O,66,218
ABEMNOZ,N,75,268
ABEMNOZ,M,62,233
ABEMNOZ,E,54,181
ABEMNOZ,A,77,304
ABCHILR,R,71,310
ABCHILR,L,79,364
ABCHILR,I,93,427
ABCHILR,C,74,391
ABCHILR,B,60,287
ABCHRUY,A,56,228
ABCGINR,G,83,414
ABCGINR,C,58,307
ABCGINR,B,62,310
ABCEKNR,N,78,355
ABCEKNR,K,67,291
ABCEKNR,C,80,425
ABCEKNR,B,72,332
ABCDIRY,R,80,333
ABCDIRY,I,56,259
ABCDIRY,D,57,242
ABCDIRY,C,54,289
ABCDIRY,B,50,206
ABHIMNR,R,73,331
ABHIMNR,N,67,338
ABHIMNR,M,74,342
ABHIMNR,I,76,355
ABDGINR,D,100,497
ABDGINR,B,78,406
ABHINRS,R,74,323
ABHINRS,N,66,292
ABHINRS,I,91,408
ABHINRS,H,54,256
ABHINRS,B,61,284
ABGINRS,S,92,416
ABGINRS,B,69,324
ABEKMNR,N,74,289
ABEKMNR,M,76,328
ABEKMNR,K,54,203
ABEKMNR,B,69,277
ABEMNRT,B,96,453
ABCHINR,R,82,394
ABCHINR,N,73,371
ABCHINR,I,85,428
ABCHINR,C,82,426
ABCHINR,B,52,272
ABCHNRY,A,79,329
ABDLNRY,Y,57,256
ABDLNRY,R,52,175
ABDLNRY,N,50,216
ABDLNRY,D,56,225
ABDLNRY,B,55,228
ABHLRSY,S,65,270
ABHLRSY,L,55,227
ABHLRSY,A,100,374
ABEHNRS,N,89,435
ABEHNRS,H,66,317
ABEHNRS,B,69,283
ABLORSV,S,52,189
ABLORSV,O,61,228
ABLORSV,L,63,234
ABLORSV,A,83,324
ABHIRST,H,70,346
ABHIRST,B,77,325
ABRSTUW,U,65,268
ABRSTUW,T,69,258
ABRSTUW,S,75,299
ABRSTUW,R,78,329
ABRSTUW,B,52,166
ABRSTUW,A,91,330
ABELRVY,Y,70,308
ABELRVY,V,54,256
ABELRVY,B,83,378
ABGINRV,R,95,475
ABGINRV,N,98,527
ABGINRV,G,85,438
ABENRSZ,S,81,358
ABENRSZ,R,93,396
ABENRSZ,N,75,353
ABENRSZ,B,60,244
ABILNRZ,R,62,236
ABILNRZ,N,52,238
ABILNRZ,L,61,245
ABILNRZ,I,83,355
ABILNRZ,B,56,274
ABILNRZ,A,98,398
ABCDEHR,H,71,368
ABCDEHR,C,87,455
ABCDEHR,B,76,364
ABDEORX,O,82,383
ABDEORX,B,91,417
ABDEORX,A,100,426
ABEKRWY,R,72,277
ABEKRWY,E,74,277
ABEKRWY,B,61,258
ABEKRWY,A,82,305
ABEKPRU,P,70,263
ABEKPRU,K,54,208
ABEKPRU,E,89,340
ABEKPRU,B,57,222
ABEKPRU,A,94,346
ABEKRTW,T,81,368
ABEKRTW,B,68,298
BDEGINR,B,86,461
BEILRYZ,E,59,244
BEINRSZ,S,66,281
BEINRSZ,R,65,295
BEINRSZ,N,56,280
BEINRSZ,I,74,322
BEINRSZ,E,92,402
BEGHLRU,U,74,303
BEGHLRU,R,62,286
BEGHLRU,L,72,288
BEGHLRU,E,76,331
BEGHLRU,B,56,252
ABEIRVY,I,53,231
ABEIRVY,E,84,344
ABEIRVY,B,62,279
ABEIRVY,A,77,302
BEIRTVY,T,64,304
BEIRTVY,R,88,400
BEIRTVY,I,64,299
BEIRTVY,E,93,418
BEGINRW,R,88,471
BEGINRW,N,90,494
BEGINRW,I,96,527
BEGINRW,G,76,461
BEGINRW,B,58,290
ABDIORW,R,70,254
ABDIORW,O,52,209
ABDIORW,D,58,191
ABDIORW,A,72,270
ABCIKRT,T,73,359
ABCIKRT,R,90,420
ABCIKRT,I,79,385
ABCIKRT,C,68,356
ABCIKRT,B,53,245
BCEIKLR,R,58,230
BCEIKLR,L,51,196
BCEIKLR,I,64,251
BCEIKLR,E,72,278
BCEILOR,O,97,395
BCEILOR,L,92,373
BCEILOR,I,78,337
BCEILOR,C,68,322
BCEILOR,B,73,300
BDEGIRS,S,77,340
BDEGIRS,G,57,287
BDEGIRS,D,90,443
BDEGIRS,B,60,288
BDEGIRT,T,74,336
BDEGIRT,G,53,263
BDEGIRT,D,77,355
BDEGIRT,B,68,328
BEFGINR,N,91,499
BEFGINR,G,76,458
BEFGINR,B,59,298
BEFILRS,S,71,287
BEFILRS,R,90,399
BEFILRS,L,85,366
BEFILRS,F,62,275
BEFILRS,B,59,269
BEFILRY,R,88,393
BEFILRY,L,76,316
BEFILRY,I,78,333
BEFILRY,F,65,288
BEFILRY,B,53,255
BEFINRS,S,73,318
BEFINRS,R,92,419
BEFINRS,N,69,332
BEFINRS,I,98,435
BEFINRS,B,50,224
ABILNRT,N,95,473
ABILNRT,B,78,370
BEILMRS,S,89,416
BEILMRS,R,91,422
BEILMRS,M,73,366
BEILMRS,L,86,397
BEILMRS,B,65,322
ABIJLNR,R,56,211
ABIJLNR,N,51,226
ABIJLNR,L,56,224
ABIJLNR,I,75,320
ABIJLNR,B,50,233
ABIJLNR,A,90,350
BCEHIOR,R,85,345
BCEHIOR,O,65,269
BCEHIOR,I,54,235
BCEHIOR,H,50,224
BCEHIOR,E,77,331
BCEHIOR,C,70,331
BCHIORS,S,52,207
BCHIORS,R,50,226
BCHIORS,O,60,257
BCHIORS,I,55,226
BCHIORS,C,52,224
BEIQRTU,T,73,350
BEIQRTU,R,76,375
BEIQRTU,I,58,283
BEIQRTU,E,80,404
BEIQRTU,B,52,249
ABINRST,B,76,345
BEIKNRS,S,86,391
BEIKNRS,R,83,372
BEIKNRS,N,76,360
BEIKNRS,I,98,421
BEIKNRS,B,52,235
BEIKRST,T,98,470
BEIKRST,S,94,409
BEIKRST,B,58,251
BGILNRS,I,65,289
BILRSTY,I,53,202
BILORST,T,75,255
BILORST,S,60,221
BILORST,R,54,185
BILORST,O,86,259
BILORST,L,62,174
BILORST,I,74,256
ABINRTY,Y,56,264
ABINRTY,T,93,435
ABINRTY,R,98,428
ABINRTY,N,84,399
ABINRTY,I,85,399
ABINRTY,B,60,275
ABDLMOR,R,91,389
ABDLMOR,M,79,318
ABDLMOR,L,73,308
ABDLMOR,D,73,295
ABDLMOR,B,74,334
ABDORSW,R,72,279
ABDORSW,O,61,243
ABDORSW,D,60,214
ABDORSW,B,55,215
ABDORSW,A,79,289
ABDORWY,R,74,292
ABDORWY,O,61,266
ABDORWY,D,67,251
ABDORWY,B,56,224
ABDORWY,A,77,299
ABCDEOR,C,96,491
ABCDOPR,R,75,276
ABCDOPR,O,68,259
ABCDOPR,D,52,192
ABCDOPR,A,85,329
BCEHORU,R,69,281
BCEHORU,O,54,209
BCEHORU,E,63,255
BCEHORU,C,55,246
BCEKORT,T,71,333
BCEKORT,R,98,433
BCEKORT,E,97,448
BCEKORT,C,57,265
ABDEIOR,O,90,400
ABDEIOR,I,89,394
BEGILOR,R,99,428
BEGILOR,O,92,349
BEGILOR,I,88,393
BEGILOR,G,81,385
BEGILOR,B,85,348
BGILNOR,R,58,259
BGILNOR,O,98,403
BGILNOR,N,85,433
BGILNOR,L,70,297
BGILNOR,I,95,458
BGILNOR,G,81,417
BGILNOR,B,53,211
ABEGKOR,O,63,246
ABEGKOR,G,63,271
ABEGKOR,E,95,393
ABEGKOR,B,88,378
ABEGKOR,A,99,392
BDEIMOR,O,99,437
BDEIMOR,M,95,461
BDEIMOR,I,93,465
BDEIMOR,B,91,487
BCDIMOR,O,50,170
BEIMNOR,O,99,404
BEIMNOR,N,90,383
BEIMNOR,M,80,345
BEIMNOR,I,77,357
BEIMNOR,B,78,332
BDENORZ,R,77,329
BDENORZ,O,91,337
BDENORZ,N,66,247
BDENORZ,D,68,288
BDENORZ,B,67,280
BDGINOR,R,61,270
BDGINOR,O,89,385
BDGINOR,N,91,469
BDGINOR,I,91,460
BDGINOR,G,69,352
BDGINOR,D,57,264
BKLNORY,O,64,206
BDEKORW,R,81,374
BDEKORW,O,79,352
BDEKORW,E,88,408
BDEKORW,D,63,300
BDEKORW,B,55,254
BDEMORW,R,97,470
BDEMORW,O,97,404
BDEMORW,M,59,268
BDEMORW,D,82,391
BDEMORW,B,64,319
BIMORSU,S,65,289
BIMORSU,R,54,219
BIMORSU,O,58,252
BIMORSU,M,51,217
BEHLORT,L,91,400
BEHLORT,H,68,329
BEHLORT,B,76,333
ABLORTU,U,81,323
ABLORTU,R,100,420
ABLORTU,L,89,340
ABLORTU,B,98,393
ABILORW,R,63,237
ABILORW,O,56,209
ABILORW,L,76,256
ABILORW,I,57,205
ABILORW,B,65,255
ABILORW,A,78,298
ABEORTW,O,100,464
ABEORTW,B,100,457
BDENORW,W,59,284
BDENORW,N,85,344
BDENORW,D,98,456
BDENORW,B,79,334
BEINORW,R,81,321
BEINORW,O,66,254
BEINORW,N,72,280
BEINORW,I,50,225
BEINORW,E,86,336
BEINORW,B,72,278
BENORSW,S,78,348
BENORSW,R,89,401
BENORSW,N,86,364
BENORSW,B,72,278
BNORTUW,O,57,220
BCEINRU,R,73,312
BCEINRU,N,51,238
BCEINRU,I,58,269
BCEINRU,E,75,328
BDEIRSU,U,71,386
BDEIRSU,I,99,534
BDEIRSU,D,99,531
BDEIRSU,B,75,425
BGINRSU,U,57,254
BGINRSU,S,53,229
BGINRSU,R,54,254
BGINRSU,N,57,297
BGINRSU,I,67,335
BGINRSU,G,56,279
ABEIMRU,U,55,256
ABEIMRU,M,98,417
ABEIMRU,I,79,324
ABEIMRU,E,95,416
ABEIMRU,B,81,370
ABEGMRU,U,64,271
ABEGMRU,M,84,389
ABEGMRU,G,92,416
ABEGMRU,B,76,335
ABEINRU,U,54,245
ABEINRU,N,97,441
ABEINRU,I,80,360
ABEINRU,E,94,398
ABEINRU,B,93,411
BDEHRSU,U,64,264
BDEHRSU,S,76,321
BDEHRSU,R,79,347
BDEHRSU,E,85,362
BDEHRSU,D,58,271
BENQRSU,U,51,242
BENQRSU,S,53,230
BENQRSU,R,55,250
BENQRSU,E,63,272
ABLRTUY,Y,60,261
ABLRTUY,U,74,284
ABLRTUY,T,70,273
ABLRTUY,R,74,289
ABLRTUY,L,74,299
ABLRTUY,B,74,276
ABLRTUY,A,100,392
BHIRSTU,U,68,286
BHIRSTU,T,56,241
BHIRSTU,S,74,325
BHIRSTU,R,63,293
BHIRSTU,I,52,248
BELRSUX,U,63,238
BELRSUX,R,55,229
BELRSUX,L,62,234
BELRSUX,E,74,287
ABELRSY,Y,90,423
ABNORYZ,R,51,191
ABNORYZ,O,60,235
ABNORYZ,N,54,199
ABNORYZ,B,56,235
ABNORYZ,A,68,258
ABEILNU,U,50,228
ABEILNU,N,94,464
ABEILNU,I,88,460
ABEILNU,B,100,470
ABCENRU,U,61,298
ABCENRU,N,83,413
ABCENRU,C,77,405
ABCENRU,B,82,368
BCEORSU,C,99,557
BCEORSU,B,58,253
BCEHLOU,O,52,192
BCEHLOU,L,69,231
BCEHLOU,E,57,222
BCEHLOU,B,54,196
BCEHNRU,R,50,214
BCEHNRU,E,54,235
ABCKORU,R,67,272
ABCKORU,O,53,219
ABCKORU,C,50,212
ABCKORU,B,54,215
ABCKORU,A,71,299
ABCEKNU,A,54,205
BCEKORU,R,69,270
BCEKORU,O,59,235
BCEKORU,E,61,244
BCEKLRU,U,72,260
BCEKLRU,R,59,232
BCEKLRU,L,67,244
BCEKLRU,E,75,293
BCEKLRU,B,51,192
ABCKMRU,R,61,223
ABCKMRU,A,78,301
ABCKLUY,L,70,280
ABCKLUY,B,62,279
ABCKLUY,A,76,319
BEFINRU,R,75,335
BEFINRU,N,50,218
BEFINRU,I,58,252
BEFINRU,E,77,336
BEFINRU,B,50,224
BEGINSU,U,56,308
BEGINSU,S,88,443
BEGINSU,N,99,529
BEGINSU,I,91,505
BEGINSU,G,77,424
BEGINSU,E,90,478
BDEGLUW,E,59,244
BDGILNU,N,53,298
BDGILNU,L,54,238
BDGILNU,I,61,327
ABLOUWY,L,70,273
ABLOUWY,B,54,216
ABLOUWY,A,51,208
ABGILRU,U,69,255
ABGILRU,R,94,342
ABGILRU,L,91,330
ABGILRU,I,81,311
ABGILRU,G,69,231
ABGILRU,B,64,232
BDELOUZ,L,62,214
BDELOUZ,E,54,206
BEILNTU,U,66,302
BEILNTU,T,95,426
BEILNTU,N,83,401
BEILNTU,I,86,402
BEILNTU,B,72,334
BELNOSU,U,67,360
BELNOSU,N,86,452
BELNOSU,B,80,349
BCKLOUY,O,52,199
BCKLOUY,L,52,198
BGILNRU,U,58,251
BGILNRU,N,55,318
BGILNRU,L,55,239
BGILNRU,I,68,365
BGILNRU,G,62,313
BHILSTU,U,54,192
BHILSTU,S,55,207
BHILSTU,L,52,194
BHILSTU,I,54,224
BHLOSTU,U,53,153
BHLOSTU,T,62,192
BHLOSTU,S,59,179
BHLOSTU,O,74,226
BHLOSTU,L,51,141
BEILRTU,U,82,381
BEILRTU,I,98,455
BGILNUY,L,55,238
ABKLRUW,A,56,208
BGILMNU,L,55,247
BGILMNU,I,61,329
ABEILMU,U,58,250
ABEILMU,M,100,437
ABEILMU,I,78,352
ABEILMU,E,95,411
ABEILMU,B,91,391
BCEMNOU,O,54,174
ABGNRSU,U,83,335
ABGNRSU,S,75,316
ABGNRSU,R,81,307
ABGNRSU,N,69,273
ABGNRSU,G,51,161
ABGNRSU,B,60,236
BDEGLNU,U,68,280
BDEGLNU,N,55,248
BDEGLNU,L,68,266
BDEGLNU,E,91,400
BDEGLNU,D,59,273
BEGLNRU,U,89,376
BEGLNRU,R,77,358
BEGLNRU,N,51,230
BEGLNRU,L,75,300
BEGLNRU,G,58,265
BEGLNRU,E,99,457
BEGLNRU,B,66,285
ABCNOUY,N,58,236
ABCNOUY,A,59,260
ABNOTUY,T,64,260
ABNOTUY,O,61,245
ABNOTUY,N,63,271
ABNOTUY,B,67,273
ABNOTUY,A,73,294
ABCERUY,Y,50,234
ABCERUY,E,80,344
ABCERUY,C,63,307
ABCERUY,B,75,329
ABCERUY,A,91,397
ABCERTU,U,89,436
ABEGRUV,G,75,332
ABEGRUV,E,94,418
ABEGRUV,B,59,255
BHINRSU,S,50,203
BELQRSU,U,64,257
BELQRSU,R,56,240
BELQRSU,L,60,235
BELQRSU,E,74,299
ABIMNRU,U,72,359
ABIMNRU,N,91,470
ABIMNRU,M,91,428
ABIMNRU,I,91,435
ABIMNRU,B,64,328
ABELNRU,U,100,472
ABELNRU,N,96,446
ABHMNRU,U,56,261
ABHMNRU,R,63,271
ABHMNRU,N,50,235
ABHMNRU,M,56,256
ABHMNRU,A,91,380
BENORSU,U,87,460
BENORSU,B,89,383
BEIKLRU,U,57,248
BEIKLRU,R,67,289
BEIKLRU,L,84,334
BEIKLRU,I,54,228
BEIKLRU,E,86,373
BEIKLRU,B,71,314
ABCERSU,B,97,449
BEHNRTU,U,71,335
BEHNRTU,R,92,439
BEHNRTU,N,72,347
BEHNRTU,B,63,296
ABDINRU,U,62,273
ABDINRU,N,97,476
ABDINRU,I,81,394
ABDINRU,D,86,371
ABDINRU,B,75,343
ABHMNSU,U,60,259
ABHMNSU,S,84,342
ABHMNSU,N,58,274
ABHMNSU,M,56,262
ABHMNSU,H,56,252
BEHLNSU,U,51,211
BEHLNSU,S,61,271
BEHLNSU,L,67,296
BEHLNSU,E,73,329
BEIMNSU,U,52,283
BEIMNSU,S,80,391
BEIMNSU,N,69,361
BEIMNSU,M,58,298
BEIMNSU,I,68,359
BEIMNSU,E,78,389
ABDLOSU,S,57,185
ABDLOSU,O,56,178
ABDLOSU,L,83,262
ABDLOSU,B,52,164
ABDLOSU,A,79,275
ABDRSTU,U,89,344
ABDRSTU,T,77,302
ABDRSTU,S,86,356
ABDRSTU,D,52,176
ABDRSTU,B,61,206
ABLNOTU,U,58,188
ABLNOTU,T,87,341
ABLNOTU,O,79,291
ABLNOTU,N,66,283
ABLNOTU,L,83,309
ABLNOTU,B,77,304
ABENOTU,U,51,214
ABENOTU,O,70,278
ABENOTU,N,99,432
ABENOTU,E,87,362
ABENOTU,B,84,334
ABENOTU,A,89,352
BCEHRTU,U,64,284
BCEHRTU,T,77,349
BCEHRTU,R,83,390
BCEHRTU,H,54,251
BCEHRTU,E,91,421
BCEHRTU,C,54,252
BEINOTU,T,87,402
BEINOTU,O,69,323
BEINOTU,N,89,422
BEINOTU,I,59,305
BEINOTU,E,73,333
BEINOTU,B,68,316
BCEPRTU,U,69,309
BCEPRTU,T,64,319
BCEPRTU,R,85,394
BCEPRTU,E,93,437
ABEFRTU,U,71,306
ABEFRTU,F,51,207
ABEFRTU,B,88,387
BDERTUW,R,58,268
BDERTUW,E,78,364
BEORTUW,U,52,245
BEORTUW,T,86,397
BEORTUW,R,100,464
BEORTUW,O,78,336
BEORTUW,E,92,447
BEORTUW,B,61,267
BCKOSTU,S,52,193
BCKOSTU,O,56,195
BDENOTU,U,54,296
BDENOTU,T,78,377
BDENOTU,O,76,341
BDENOTU,N,96,471
BDENOTU,D,74,368
BDENOTU,B,68,335
BDERSTU,D,78,386
BDERSTU,B,66,319
BDELTUW,L,50,187
BDELTUW,E,68,276
ABELTUY,U,68,282
ABELTUY,T,97,428
BELNTUY,U,57,244
BELNTUY,T,60,256
BELNTUY,L,62,256
BELNTUY,E,71,299
BELNTUY,B,57,254
ABCENRT,B,99,504
ABCDELO,O,87,342
ABCDELO,D,95,388
ABCDELO,C,70,329
ABCDELO,B,90,382
ABCEGOT,T,59,238
ABCEGOT,A,64,245
ABCDNST,A,73,270
ACDEMNO,C,90,480
ACDILOY,Y,59,319
ACDILOY,O,75,325
ACDILOY,I,74,374
ACDILOY,D,68,318
ACDILOY,C,79,391
ACDILOY,A,92,433
ACEHOST,O,99,436
ACEGINO,O,93,464
ACEGINO,I,91,481
ACEGINO,G,79,388
ACEGINO,E,67,349
ACEGINO,C,75,408
ACHNOPY,O,64,236
ACHNOPY,N,53,209
ACHNOPY,C,57,243
ACHNOPY,A,62,258
ACDLRST,T,54,204
ACDLRST,S,60,251
ACDLRST,R,59,241
ACEIMSU,U,61,311
ACEIMSU,M,97,406
ACEIMSU,I,69,306
ACEIMSU,E,66,303
ACEIMSU,C,67,339
ACEIMSU,A,92,404
ACEGLOU,O,50,211
ACEGLOU,L,95,347
ACEGLOU,G,64,241
ACEGLOU,E,59,246
ACEGLOU,A,67,262
ACEHKLO,O,74,278
ACEHKLO,L,97,391
ACEHKLO,K,65,232
ACEHKLO,H,80,347
ACEHKLO,E,71,281
ACEHKLO,C,86,367
ACEHKLO,A,95,403
ACDILMU,U,50,222
ACDILMU,M,73,300
ACDILMU,L,86,353
ACDILMU,I,75,335
ACDILMU,D,50,191
ACDILMU,C,50,249
ACILMTY,Y,55,323
ACILMTY,T,81,449
ACILMTY,M,69,324
ACILMTY,C,82,479
ACDILNR,L,83,385
ACILOSU,U,69,409
ACILOSU,O,77,374
ACILOSU,I,91,480
ACLORTU,U,75,375
ACLORTU,L,99,437
ACDLNOR,N,97,430
ACDLNOR,L,70,294
ACDLNOR,D,84,364
ACDLNOR,C,95,448
ACDELNU,U,83,391
ACDELNU,C,88,470
ACDILRS,S,100,453
ACDILRS,R,98,452
ACDILRS,L,88,394
ACDILRS,D,75,308
ACDILRS,C,96,518
ACILOPS,P,99,429
ACILOPS,O,100,435
ACILOPS,C,96,479
ACLOSUY,U,58,312
ACLOSUY,S,90,454
ACLOSUY,O,65,292
ACLOSUY,C,82,420
ACLOSUY,A,88,417
ACGILMN,G,95,511
ACGILMN,C,70,391
ACELMNS,C,84,466
ACGLNOP,O,91,331
ACGLNOP,N,68,282
ACGLNOP,L,81,306
ACGLNOP,G,55,231
ACGLNOP,A,97,391
ACFILOR,R,85,358
ACFILOR,O,83,314
ACFILOR,I,94,408
ACFILOR,F,62,261
ACFILOR,C,84,378
ACLOPRT,P,100,429
ACLOPRT,L,97,403
ACLMNUY,Y,52,236
ACLMNUY,U,55,252
ACLMNUY,N,62,310
ACLMNUY,M,66,308
ACLMNUY,L,71,298
ACDLOSV,O,59,202
ACDLOSV,L,62,225
ACDLOSV,A,67,277
ACGILNV,G,81,448
ACGILNV,C,59,360
ACILNOV,V,62,352
ACEILNY,Y,54,305
ACEILNY,E,99,551
ACLOPSY,Y,61,278
ACLOPSY,S,80,343
ACLOPSY,P,77,308
ACLOPSY,O,91,357
ACLOPSY,C,63,276
ACLPRTY,Y,52,233
ACLPRTY,T,62,269
ACLPRTY,R,67,270
ACLPRTY,P,55,226
ACLPRTY,L,53,222
ABCMRSU,U,87,400
ABCMRSU,R,94,415
ABCMRSU,M,74,331
ABCMRSU,C,72,360
ABCMRSU,B,65,289
ABCDIMO,M,52,173
ABCDIMO,A,71,266
ABCIMNR,R,93,408
ABCIMNR,N,86,433
ABCIMNR,M,77,332
ABCIMNR,C,70,359
ABCIMNR,B,56,282
ACDEILM,C,96,563
ACELMSU,C,98,516
ABCEMRT,B,87,464
ACEILMO,O,86,372
ACEILMO,E,91,457
ACGIMNP,P,52,271
ACGIMNP,N,97,514
ACGIMNP,M,66,328
ACGIMNP,I,99,476
ACGIMNP,G,60,320
ACLMNPU,U,62,253
ACLMNPU,N,50,252
ACLMNPU,M,57,245
ACLMNPU,L,74,286
ACLMNPU,A,100,422
ABCELMP,P,59,262
ABCELMP,M,61,268
ABCELMP,C,53,263
ABCELMP,B,66,311
ACEHMPY,A,63,254
ACHMOPR,R,87,339
ACHMOPR,P,63,241
ACHMOPR,O,91,369
ACHMOPR,M,70,259
ACHMOPR,H,60,281
ACHMOPR,C,78,316
ACIMNOP,P,52,245
ACIMNOP,M,96,454
ACIMNOP,C,82,427
ACGMNOP,O,66,227
ACGMNOP,N,67,275
ACGMNOP,A,78,303
ACFHMST,A,68,237
ACILNRU,U,81,455
ACILNRU,N,97,500
ACILNRU,C,100,589
ACILNSU,U,98,561
ACEILNZ,N,93,466
ACEILNZ,I,91,459
ACEILNZ,E,86,444
ACEILNZ,C,76,433
ACGIMNU,N,89,435
ACGIMNU,M,75,359
ACGIMNU,I,81,378
ACGIMNU,G,58,285
ACGIMNU,A,99,437
ACDENRW,W,53,233
ACDENRW,C,76,385
ACDILNY,Y,60,315
ACDILNY,N,81,409
ACDILNY,L,87,415
ACDILNY,I,97,513
ACDILNY,D,69,336
